id   name                                                      description                        country_iiata_codeicao_codelatitude longitude elevatio
   65Iles De La Madeleine                                      Iles De La Madeleine                       4YGR      CYGR     47.42472 -61.77806       35
   66Hudson Bay                                                Hudson Bay                                 4YHB      CYHB     52.81667 -102.31139    1175
   67Dryden Rgnl                                               Dryden                                     4YHD      CYHD     49.83167 -92.74417     1354
   68Ulukhaktok Holman                                         Holman Island                              4YHI      CYHI     70.76278 -117.80611     117
   69Gjoa Haven                                                Gjoa Haven                                 4YHK      CYHK     68.63556 -95.84972      152
   70Hamilton                                                  Hamilton                                   4YHM      CYHM     43.17361  -79935.00     780
   71St Hubert                                                 Montreal                                   4YHU      CYHU     45.5175  -73.41694       90
   72Hay River                                                 Hay River                                  4YHY      CYHY     60.83972 -115.78278     543
   73Halifax Intl                                              Halifax                                    4YHZ      CYHZ     44.88083 -63.50861      477
   74Atikokan Muni                                             Atikokan                                   4YIB      CYIB     48.77389 -91.63861     1408
   75Pond Inlet                                                Pond Inlet                                 4YIO      CYIO     72.68333 -77.96667      181
   76St Jean                                                   St. Jean                                   4YJN      CYJN     45.29444 -73.28111      136
   77Stephenville                                              Stephenville                               4YJT      CYJT     48.54417 -58.55          80
   78Kamloops                                                  Kamloops                                   4YKA      CYKA     50.70222 -120.44444    1133
   79Waterloo                                                  Waterloo                                   4YKF      CYKF     43.46083 -80.37861     1054
   80Schefferville                                             Schefferville                              4YKL      CYKL     54.80528 -66.80528     1709
   81Kindersley                                                Kindersley                                 4YKY      CYKY     51.5175  -109.18083    2277
   82Buttonville Muni                                          Toronto                                    4YKZ      CYKZ     43.86222 -79.37         650
   83Chapleau                                                  Chapleau                                   4YLD      CYLD     47.82    -83.34667     1470
   84Meadow Lake                                               Meadow Lake                                4YLJ      CYLJ     54.12528 -108.52278    1576
   85Lloydminster                                              Lloydminster                               4YLL      CYLL     53.30917 -110.0725     2193
   86Alert                                                     Alert                                      4YLT      CYLT     82.51778 -62.28056      100
   87Kelowna                                                   Kelowna                                    4YLW      CYLW     49.95611 -119.37778    1409
   88Mayo                                                      Mayo                                       4YMA      CYMA     63.61639 -135.86833    1653
   89Moose Jaw Air Vice Marshal C M Mcewen                     Moose Jaw                                  4YMJ      CYMJ     50.33028 -105.55917    1892
   90Fort Mcmurray                                             Fort Mcmurray                              4YMM      CYMM     56.65333 -111.22194    1211
   91Moosonee                                                  Moosonee                                   4YMO      CYMO     51.29111 -80.60778       30
   92Maniwaki                                                  Maniwaki                                   4YMW      CYMW     46.27278 -75.99056      656
   93Montreal Intl Mirabel                                     Montreal                                   4YMX      CYMX     45.68194 -74.00528      270
   94Natashquan                                                Natashquan                                 4YNA      CYNA     50.19    -61.78917       39
   95Gatineau                                                  Gatineau                                   4YND      CYND     45.52169 -75.56359      211
   96Matagami                                                  Matagami                                   4YNM      CYNM     49.76167 -77.80278      918
   97Old Crow                                                  Old Crow                                   4YOC      CYOC     67.57056 -139.83917     824
   98Cold Lake                                                 Cold Lake                                  4YOD      CYOD      54405.00-110.27944    1775
